"","x","address","lat","long","addresstype"
"99",1,"Qatar",25.3336984,51.2295295,"country"
"100",2,"Republic of the Congo",-0.7264327,15.6419155,"country"
"101",3,"Romania",45.9852129,24.6859225,"country"
"102",4,"Russia",64.6863136,97.7453061,"country"
"103",5,"Rwanda",-1.9646631,30.0644358,"country"
"104",6,"Saint Lucia",13.8250489,-60.975036,"country"
"105",7,"Saint Vincent and the Grenadines",12.90447,-61.2765569,"country"
"106",8,"San Marino",43.9458623,12.458306,"country"
"107",9,"Saudi Arabia",25.6242618,42.3528328,"country"
"108",10,"Senegal",14.4750607,-14.4529612,"country"
"109",11,"Serbia",44.1534121,20.55144,"country"
"110",12,"Seychelles",-4.6574977,55.4540146,"country"
"111",13,"Singapore",1.357107,103.8194992,"country"
"112",14,"Slovakia",48.7411522,19.4528646,"country"
"113",15,"Slovenia",46.1199444,14.8153333,"country"
"114",16,"Somalia",8.3676771,49.083416,"country"
"115",17,"South Africa",-28.8166236,24.991639,"country"
"116",18,"Spain",39.3260685,-4.8379791,"country"
"117",19,"Sri Lanka",7.5554942,80.7137847,"country"
"118",20,"Sudan",14.5844444,29.4917691,"country"
"119",21,"Suriname",4.1413025,-56.0771187,"country"
"120",22,"Sweden",59.6749712,14.5208584,"country"
"121",23,"Switzerland",46.7985624,8.2319736,"country"
"122",24,"Syria",34.6401861,39.0494106,"country"
"123",25,"Taiwan",23.9739374,120.9820179,"country"
"124",26,"Tanzania",-6.5247123,35.7878438,"country"
"125",27,"Thailand",14.8971921,100.83273,"country"
"126",28,"The Gambia",13.470062,-15.4900464,"country"
"127",29,"Togo",8.7800265,1.0199765,"country"
"128",30,"Trinidad and Tobago",10.7466905,-61.0840075,"country"
"129",31,"Tunisia",33.8439408,9.400138,"country"
"130",32,"Turkey",38.9597594,34.9249653,"country"
"131",33,"US",39.7837304,-100.445882,"country"
"132",34,"Uganda",1.5333554,32.2166578,"country"
"133",35,"Ukraine",49.4871968,31.2718321,"country"
"134",36,"United Arab Emirates",24.0002488,53.9994829,"country"
"135",37,"United Kingdom",54.7023545,-3.2765753,"country"
"136",38,"Uruguay",-32.8755548,-56.0201525,"country"
"137",39,"Uzbekistan",41.32373,63.9528098,"country"
"138",40,"Venezuela",8.0018709,-66.1109318,"country"
"139",41,"Vietnam",15.9266657,107.9650855,"country"
"140",42,"Zambia",-14.5189121,27.5589884,"country"
"141",43,"Zimbabwe",-18.4554963,29.7468414,"country"
